дата выпуска;№ выпуска;ниша;№ компании;компания;домен;домен подтверждён;тип;источник URL;дата проверки;примечание
28.09.2026;2;Стоматологии;—;см. barometr/vypusk-2-stomatologii.md;;;;;;
01.10.2026;3;Клиники (медцентры);1;Мать и дитя Иркутск;irkutsk.mamadeti.ru;да;федеральная сеть / городской поддомен;https://irkutsk.mamadeti.ru/;2026-09-25;
01.10.2026;3;Клиники (медцентры);2;Харлампиевская клиника;irk.clinic;да;местная;https://irk.clinic/;2026-09-25;
01.10.2026;3;Клиники (медцентры);3;Медицинский центр «Для всей семьи»;irkmedcenter.ru;да;местная;http://irkmedcenter.ru/;2026-09-25;
01.10.2026;3;Клиники (медцентры);4;Клиника «СОЮЗ»;mmk-souyz.ru;да;местная;https://mmk-souyz.ru/;2026-09-25;
01.10.2026;3;Клиники (медцентры);5;Медикал Он Груп-Иркутск;medongroup-irk.ru;да;[уточнить: сеть или местная];https://medongroup-irk.ru/;2026-09-25;"в сниппете «в Иркутске с 2005 года»; есть ли сеть в других городах — не проверял"
01.10.2026;3;Клиники (медцентры);6;Байкал-Медикл;baikalmedikl.ru;да;местная;https://baikalmedikl.ru/;2026-09-25;
01.10.2026;3;Клиники (медцентры);7;Клиника Эксперт;—;нет домена;[уточнить: сеть или местная];https://2gis.ru/irkutsk/firm/70000001037098529;2026-09-25;в выдаче только карточка 2ГИС
01.10.2026;3;Клиники (медцентры);8;Клиника ИГЦМД (Центр молекулярной диагностики);igcmd.ru;да;местная;https://igcmd.ru/clinic/service/vrachebnye-priemy-i-manipulyacii/gastroenterologiyadetskayaivzroslaya;2026-09-25;
01.10.2026;3;Клиники (медцентры);9;Клиника М53;m-53.ru;да;местная;https://m-53.ru/napravleniya/gastroenterologiya;2026-09-25;
01.10.2026;3;Клиники (медцентры);10;Гемотест;gemotest.ru;да;федеральная сеть / городской поддомен (лаборатория);https://gemotest.ru/irkutsk/catalog/;2026-09-25;источник: research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026)
01.10.2026;3;Клиники (медцентры);11;Хеликс;helix.ru;да;федеральная сеть / городской поддомен (лаборатория);https://helix.ru/irkutsk/catalog/190-vse-analizy;2026-09-25;источник: research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026)
01.10.2026;3;Клиники (медцентры);12;Инвитро;invitro.ru;да;федеральная сеть / городской поддомен (лаборатория);https://invitro.ru/offices/irkutsk/;2026-09-25;источник: research-mehanika/03-nablyudeniya.md (прогон WebSearch 25.09.2026)
04.10.2026;4;Ремонт квартир;1;Pro Ремонт;про-ремонт38.рф;да;местная;http://www.xn---38-rdd9agddekc2a.xn--p1ai/;2026-09-25;
04.10.2026;4;Ремонт квартир;2;AlexArt;alexart-irk.ru;да;местная;https://alexart-irk.ru/;2026-09-25;
04.10.2026;4;Ремонт квартир;3;ASEREBRO Group;aserebrogroup.ru;да;местная;https://aserebrogroup.ru/;2026-09-25;
04.10.2026;4;Ремонт квартир;4;Корона;irkutsk.korona-remont.ru;да;федеральная сеть / городской поддомен;https://irkutsk.korona-remont.ru/;2026-09-25;
04.10.2026;4;Ремонт квартир;5;БайкалИнтерСтрой;irk-stroy.ru;неподтв.;местная;https://www.irk-stroy.ru/;2026-09-25;"название из сводки поиска; в title сайта названия нет"
04.10.2026;4;Ремонт квартир;6;S5 Ремонт;irkutsk.s5r.ru;неподтв.;федеральная сеть / городской поддомен;https://irkutsk.s5r.ru/nedorogoj-remont-kvartir;2026-09-25;название выведено из домена
04.10.2026;4;Ремонт квартир;7;Бригада38;—;нет домена;местная;https://2gis.ru/irkutsk/firm/70000001029123720/tab/reviews;2026-09-25;
04.10.2026;4;Ремонт квартир;8;СтройПлюс38;—;нет домена;местная;https://2gis.ru/irkutsk/firm/70000001057201306/tab/reviews;2026-09-25;
04.10.2026;4;Ремонт квартир;9;СК Фундамент;—;нет домена;местная;поиск «ремонт квартир под ключ Иркутск компания», сводка выдачи;2026-09-25;название только в сводке, URL нет
04.10.2026;4;Ремонт квартир;10;Дружина;дружина38.рф;да;местная;https://www.xn--38-6kcpkm9av1a.xn--p1ai/;2026-09-25;
04.10.2026;4;Ремонт квартир;11;Кронвест;kronvest.net;неподтв.;федеральная сеть / городской поддомен;https://kronvest.net/irkutsk/remont-kvartiry-v-novostrojke;2026-09-25;страница /irkutsk/ на общем домене
