Ниша;Покупают GEO в РФ (да/нет данных + пример);Типичные запросы к ИИ;Стоимость лида в Директе ₽ (вилка);Источник цены лида (URL);Год кейса;Вердикт;Почему
Спецтехника и аренда техники;нет данных (смежно: B2B GEO-кейс лазерного оборудования https://habr.com/ru/articles/1017062/);(типовые, составлено исследователем) аренда экскаватора-погрузчика в Иркутске цена за смену | автокран 25 т в аренду с оператором Иркутск | какие компании сдают самосвалы, сравни цены;1 341 (Новосибирск);https://partizan-marketing.ru/kejsy/keis-arenda-specztehniki/;н/д;2-я очередь;"B2B, хороший чек, регион стройки и добычи; но выбор по наличию и цене через звонки и Авито, GEO-кейсов нет"
Каркасные дома;косвенно: услуга GEO для застройщиков https://artsofte.digital/geo-dlya-zastroishikov;(типовые, составлено исследователем) каркас или брус для Иркутской области при −40 | лучшие компании каркасных домов Иркутска, отзывы | сколько стоит каркасный дом 100 м² под ключ в Иркутске;195–1 535;"https://ruward.ru/cases/7123/ ; https://vc.ru/marketing/1995688-potok-zayavok-na-karkasnye-doma-yandeks-direkt-v-penze ; https://baikal-target.ru/cases/case-sk-zodchiy ; https://shuklaev.ru/zayavki-po-1200-rub-stroitelstvo-domov/";н/д;1-я очередь;Чек в миллионы, решение месяцами со сравнением подрядчиков, локально, бюджеты есть
Медцентры;да: рейтинг GEO-агентств для медицины, кейс «клиника в 70% ответов» https://vc.ru/ai/2961557-gde-zakazat-geo-prodvizhenie-dlya-mediciny;(типовые, составлено исследователем) где в Иркутске сделать МРТ без очереди | хороший гастроэнтеролог в Иркутске | где пройти чекап в Иркутске и сколько стоит;306–1 500+;"https://elama.ru/blog/prodolzhili-snizhat-stoimost-lida-i-dostigli-cpl-306-rub-novye-rezultaty-prodvizheniya-medcentra-v-yandeks-direkte/ ; https://new-point.bz/cases/kontekst/prodvizhenie-medicinskogo-centra-v-yandeks/";2025;1-я очередь;"Пациент сравнивает клиники и врачей, GEO-кейсы в нише есть, бюджеты стабильные; риск — медреклама"
Стоматологии;"да: https://vc.ru/marketing/2904850-marketing-stomatologii-kak-neiroset-vliyaet-na-vybor-kliniki ; https://vc.ru/ai/3039943-luchshie-stomatologii-moskvy";"«лучшие стоматологии [города]» (по vc.ru/ai/3039943); (типовые, составлено исследователем) где в Иркутске поставить импланты надёжно | сколько стоит All-on-4 в Иркутске | хороший детский стоматолог Иркутск";1 000–2 744 (импланты в Москве до 15 000);"https://advertmed.com/blog_info/case/case-yandexdirect/ ; https://direct.yandex.ru/base/articles/case-stomatologicheskaya-klinika-rezultaty ; https://slog.digital/22etazh";2024–2025;1-я очередь;"Дорогой лид и чек, долгий выбор, владельцы уже читают про ИИ-рекомендации; риск — медреклама"
Ветклиники;нет данных;(типовые, составлено исследователем) круглосуточная ветклиника в Иркутске со стационаром | где кастрировать кота в Иркутске, цены | ветеринар по экзотическим животным Иркутск;715–1 544 (звонок 1 359);"https://vc.ru/marketing/3008170-reklama-veterinarnoi-kliniki-snizenie-tseny-zvonka ; https://cvekla.com/blog/keys-veterinarnye-uslugi";2024 (один кейс), остальные н/д;2-я очередь;Лид недешёвый, важны отзывы, но решение часто срочное и через карты, бюджеты ниже
Аптеки;нет данных;(типовые, составлено исследователем) где в Иркутске купить [препарат] дешевле | ночная аптека рядом | аналог [препарата] дешевле;нет данных в ₽ (кейсы только в ДРР/доходе);"https://remarka.agency/case/kontekstnaya-reklama-dlya-aptechnoy-seti ; https://blog.kinetica.su/keys_aptechnoy_seti/";н/д;не брать;Регулирование лекарств, доминируют сети и агрегаторы, низкая маржа, нет бюджетов у локальных
Автосервисы;смежно: GEO-кейс автоподбора https://habr.com/ru/articles/1069372/;(типовые, составлено исследователем) надёжный автосервис по Toyota в Иркутске | ремонт АКПП в Иркутске, цена | подготовка авто к зиме Иркутск;680–2 700 (Москва 1 600);"https://callibri.ru/blog/248-lidov-dlya-avtoservisa-za-mesyac-kejs-po-yandeks-direktu ; https://vc.ru/marketing/1827725-kak-avtoservis-uvelichil-obrascheniya-do-15-v-den-s-yandeks-direkt";н/д;2-я очередь;"Доверие важно, лид средний; многие СТО без маркетинга, брать профильные"
Автопрокат;нет данных;(типовые, составлено исследователем) арендовать машину в Иркутске для поездки на Байкал/Ольхон | прокат авто в аэропорту Иркутска без залога | какие прокаты разрешают ехать на Ольхон по льду;~1 000 за покупку;"https://habr.com/ru/companies/mako_digital/articles/846042/ ; https://ratingruneta.ru/cases/case-14573/";н/д;2-я очередь;Туристы планируют Байкал через ИИ, но рынок маленький, агрегаторы, скромные бюджеты
Отели и гостевые дома;нет данных (поиск не выполнен — лимит);(типовые, составлено исследователем) где остановиться на Байкале в Листвянке с видом | гостевой дом на Ольхоне с баней | недорогой отель в центре Иркутска;700–905 за бронь;"https://manifestpro.ru/portfolio/spaotel ; https://sv-digital.com/keisi/yandex-direct-pansionat-na-more ; https://yula-group.ru/blog/kejs-po-kontekstnoj-reklame-dlya-sajta-otelya";2024 (спа-отель), остальные н/д;2-я очередь;"Путешествия — массовый сценарий ИИ, Байкал — локальный плюс; но агрегаторы, сезонность, малые бюджеты"
Рестораны и доставка еды;нет данных;(типовые, составлено исследователем) где поесть бурятскую кухню в Иркутске | ресторан с видом на Ангару | лучшая доставка роллов Иркутск;90–270 за заказ;"https://fl-web.ru/cases/context/yandeks-direkt-dlya-dostavki-pitstsy-rollov-i-sushi/ ; https://mos-context.ru/kafe-i-restorany/ ; https://vc.ru/marketing/1821570-keis-privlekli-898-zakazov-pochti-na-2-mln-rub-za-6-mesyacev-dlya-dostavki-edy-v-kazani-cherez-yadirekt";2021 (один кейс), остальные н/д;не брать;Дешёвый импульсный заказ, агрегаторы и карты, аудит не окупается
Интернет-магазины одежды;"услуги GEO для e-com есть (https://m.seonews.ru/analytics/reyting-geo-agentstv-dlya-ecom-v-rossii-kak-prodvigat-internet-magazin-v-neyrosetyakh/ ; https://primo.agency/prodvizhenie-v-nejrosetyah/dlya-internet-magazinov), кейсов по одежде нет";(типовые, составлено исследователем) пуховик для −40 российского бренда | базовый гардероб из российских брендов онлайн | альтернатива [ушедшему бренду];нет данных в ₽ (ДРР 21–30%);"https://www.sostav.ru/blogs/267342/51402 ; https://ruward.ru/cases/6958/ ; https://ruward.ru/cases/7303/";2023 (один кейс), остальные н/д;не брать;"Доминируют маркетплейсы, нет локальности; исключение — свои бренды по B2B-тарифу"
Интернет-магазины косметики;блог GEO для beauty-брендов https://spioniro.ru/blog/geo-beauty-industriya/ (кейсов с цифрами нет);(типовые, составлено исследователем) крем для сухой кожи зимой, российские бренды | где купить оригинальную корейскую косметику онлайн | чем заменить [бренд];~1 000–1 140 за заказ (1 140 — расчёт исследователя);"https://digitalstrategy.ru/blog/roskosmetika/ ; https://workspace.ru/cases/keys-prodvizhenie-internet-magazina-kosmetiki-cherez-yandeks-direkt/";н/д;не брать;"Спрос на маркетплейсах и в сетях, нет локальности; производителям — B2B во 2-ю очередь"
Интернет-магазины товаров для животных;нет данных;(типовые, составлено исследователем) какой корм лучше для стерилизованной кошки | где купить корм [бренд] в Иркутске | российский корм вместо Royal Canin;157–3 000 за заказ;"https://vc.ru/marketing/56904-reklama-zoomagazina-v-internete-zayavki-po-157-rublei ; https://intop.click/case-pet-shop";н/д (157 ₽ — старый кейс);не брать;Недорогой повторяющийся товар на маркетплейсах, ИИ рекомендует бренды корма, а не магазины
Мебель на заказ;нет данных;(типовые, составлено исследователем) где в Иркутске заказать шкаф-купе, надёжные фабрики | ЛДСП или МДФ, кто делает качественно | сколько стоит гардеробная на заказ;142–2 000;"https://profi-studio.ru/cases/internet-marketing/reklama-v-yandekse-dlya-mebelnoy-kompanii-trio-mebel/ ; https://vc.ru/514542-keis-prodvizhenie-korpusnoi-mebeli-na-zakaz-v-yandeks-direkte ; https://t4ka.ru/keys-detskaya-mebel-na-zakaz";н/д;2-я очередь;"Высокий чек и сравнение, но мелкие цеха с малыми бюджетами; продавать в связке с кухнями"
