запрос;система;дата;кто в ответе;источники;чем отличаются победители
аренда автокрана в Иркутске;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"226 компаний (цифра без явного источника); тоннаж 3–25 т и 50/70 т; ООО «Спец-Кран» от 5000 ₽/смену; Myguru (круглосуточно); Транспортсиб (с экипажем)";"irkutsk.fis.ru; irkutsk.jsprav.ru; irkutsk.myguru.ru; irkutsk.spcteh.ru; irkutsk.spectehnika-kran.ru; irkutsk.kranrf.ru; irkutsk.regtorg.ru; transportsib.ru; en.wikipedia.org (нерелевантно)";"5 из 9 — агрегаторы/справочники; 7 из 9 — городские поддомены федеральных сетей (irkutsk.*); у одного поддомена московский номер +7 926; в сниппетах — тоннаж, длина стрелы, цена «от» за смену"
аренда автокрана в Иркутске;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
аренда автокрана в Иркутске;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
аренда автокрана в Иркутске;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
куда сдать анализы в Иркутске;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"Гемотест; Хеликс; Юнилаб (тел. 8 (3952) 288-688); ИНВИТРО; Медикал Он Груп; клиника СОЮЗ (проезд Юрия Тена, 30); ЛукаЛаб (ул. Якоби, 6 — в сводке искажено транслитерацией)";"gemotest.ru/irkutsk; helix.ru/irkutsk; 2gis.ru/irkutsk (рубрика); prodoctorov.ru/irkutsk; unilab.su; mmk-souyz.ru; medongroup-irk.ru; lukalab.ru/address; invitro.ru/offices/irkutsk";"федеральные сети лабораторий с городскими страницами каталога/офисов; страницы «адреса/офисы» дают адрес в сводку; 2 агрегатора (2ГИС, ПроДокторов) в выдаче, но в сводку не вошли; сводка на английском"
куда сдать анализы в Иркутске;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
куда сдать анализы в Иркутске;ChatGPT;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
куда сдать анализы в Иркутске;GigaChat;2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
купить саженцы яблони с доставкой;"WebSearch (поиск инструмента агента; не Яндекс, не Алиса; вероятно не российский индекс)";2026-09-25;"Подворье (~300 сортов, почтой по РФ); Беккер; Агросемфонд (от 219 ₽, наложенный платёж); питомник Южный (450–850 ₽); питомник в СПб";"podvorje.ru; abekker.ru; agrosemfond.ru; darvin-market.ru; uzhniy.ru; царьсад.рф; onlinesemena.ru; grandsad.ru; kedr812.ru";"9 из 9 — категорийные страницы интернет-магазинов/питомников; цена «от» и «доставка почтой по России» прямо в title; маркетплейсов нет"
купить саженцы яблони с доставкой;Алиса (Поиск с Алисой / Алиса AI);2026-09-25;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы;не выполнено — нет доступа из песочницы
