Инструмент;Страна;Сети;Единица тарификации;Цена за проверку ₽;Цена в месяц от ₽;Цена в месяц до ₽;API;Что в отчёте;Доверительный интервал/повторы;Оплата из РФ;URL;Дата проверки;Источник данных
Топвизор AI-трекер (бета);Россия;"ChatGPT-4o, Алиса AI, DeepSeek V3, Gemini 3 Flash, Claude Haiku 4.5, Grok 4.1 Fast, Perplexity Sonar (+GigaChat по журналу Топвизора); модели без веб-поиска";проверка промпта (pay-as-you-go), конкурент +0,1 ₽;"2 (без скидки, бета; обзор Sostav: ~1,8)";"0 (подписка не обязательна; тариф S 999 ₽ даёт −10%)";нет данных;да (API aiTracker_2, в т.ч. получение цены проверки);упоминание бренда/конкурентов, позиция в ответе, тональность, сравнение сетей на одном экране, группы промптов;не заявлено (нет данных);"рублёвый сервис; способ оплаты не проверен";https://topvisor.com/ai-tracker/;2026-09-25;по сниппету поиска
AI Пиксель Тулс (Пиксель Плюс);Россия;"ChatGPT, Алиса/YandexGPT, DeepSeek, Gemini, Claude, Perplexity, Google AI Overview («7+»); GigaChat — нет данных";лимиты тарифа;нет данных;1 149 (Профессионал, 18 500 лимитов);22 990 (Бизнес);нет данных;упоминания, тональность, источники нейроответов, трафик из нейросетей, конкуренты, рекомендации;не заявлено (нет данных);"рублёвый сервис; также через маркетплейс eLama";https://ai.pixeltools.ru/tariffs;2026-09-25;по сниппету поиска
PR-CY ИИ-трекер;Россия;ChatGPT, Google AI, Yandex AI, DeepSeek, Алиса;входит в тариф PR-CY (лимиты);нет данных;990 (Начинающий);9 990 (Премиум);нет данных для ИИ-трекера;видимость, Share of Voice, динамика, средняя позиция, тональность, ссылки (источники), до 10 брендов, регион/язык/устройство;"ежедневные проверки по расписанию; ДИ не заявлен";"рублёвый сервис; способ оплаты не проверен";https://pr-cy.ru/features/ai-tracker/;2026-09-25;по сниппету поиска
Keys.so Трекер ИИ;Россия;ChatGPT, Алиса (нейроответы Поиска), DeepSeek, Perplexity, Google AI Mode, GigaChat, Gemini, Claude;"проверка = промпт × нейросеть; 100/1000/5000 проверок по тарифам";≈5–53 (расчёт: тариф/проверки, тариф включает всё SEO);"5 300 (Базовый; в обзоре встречается 10 990 — расхождение)";"26 175+ (Корпоративный; в обзоре 29 990)";API на Проф. и Корп. тарифах (общий API Keys.so);упоминания и позиции бренда и сайта, автоподбор конкурентов, тональность, генерация промптов;не заявлено;"рублёвый сервис; способ оплаты не проверен";https://www.keys.so/ru/ai-tracker;2026-09-25;по сниппету поиска
Rush Analytics AI Трекер;Россия;Алиса, ChatGPT, Gemini, Perplexity, Google AI Overviews;лимиты платформы (доп. лимит 0,94–1,3 ₽);нет данных (сколько лимитов на промпт — не найдено);999 (Start);49 999 (Corporate);"у платформы есть API; для AI-трекера нет данных";Share of Voice, частота упоминаний конкурентов, тональность, динамика;не заявлено;"рублёвый сервис; есть FAQ об оплате иностранными картами";https://www.rush-analytics.ru/land/ai-treker;2026-09-25;по сниппету поиска
Serpstat LLM Brand Monitor;Украина/межд.;ChatGPT, Claude, Gemini, Perplexity и «100+/140+ моделей» (цифра в разных местах разная);проверка (checks) / кредиты;"≈17 (Pro $39/200) ; ≈21 (PAYG $25/100)";0 (Free: 10 проверок);"≈8 400 (Pro $99 без акции); акция $39 ≈3 300";нет данных;как модели описывают бренд, тональность, SoV, конкуренты, приоритетные пробелы;"еженедельные автосканы; ДИ не заявлен";нет данных;https://serpstat.com/page/llm-brand-monitor/;2026-09-25;"по сниппету поиска; курс $1=85 ₽ условный"
SE Ranking AI Search add-on / SE Visible;межд.;Google AI Overviews, AI Mode, ChatGPT, Perplexity, Gemini;check = 1 промпт × 1 платформа;≈29–38 (add-on $345/1000 … $89/200);"≈18 500 (Core $129 + add-on $89); SE Visible от $99 ≈8 400";"≈30 200 (SE Visible Plus $355); >1000 проверок — по запросу";"у SE Ranking есть платный API; AI-данные в API — нет данных";упоминания, Share of Voice, конкурентный бенчмарк;не заявлено;нет данных;https://help.seranking.com/hc/en-us/articles/22120452776476-AI-Search-Add-on;2026-09-25;"по сниппету поиска; курс условный"
Be1 / Arsenkin Tools;Россия;нет данных (ИИ-модули не найдены);нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет (поиск не нашёл страницы);2026-09-25;поиск не дал результатов
Яндекс Вебмастер: Видимость сайта в Алисе AI;Россия;только Алиса AI (быстрые ответы в Поиске);бесплатно, для подтверждённого сайта;0;0;0;нет данных;SoV сайта среди источников ответов, динамика по месяцам, примеры запросов и показанных страниц;нет (агрегат Яндекса по реальным показам, не выборка);бесплатно;https://yandex.ru/support/webmaster/ru/service/alice-answers;2026-09-25;по сниппету поиска
Click.ru ИИ-трекинг;Россия;ChatGPT, ЯндексGPT, GigaChat, Gemini и др.;подписка;нет данных;20 000;нет данных;нет данных;видимость, конкуренты, точки роста, анализ источников (RAG);нет данных;рублёвый сервис;https://www.seonews.ru/blogs/b2b-click/gde-vzyat-dannye-o-vidimosti-v-neyrosetyakh-servisy-i-klyuchevye-metriki-geo-i-aeo/;2026-09-25;по сниппету поиска
Брендометр;Россия;Алиса AI, Поиск с Алисой, GigaChat, ChatGPT, Claude, Gemini, Perplexity, DeepSeek, Grok, Qwen, Google AI Overviews (11);нет данных;нет данных;0 (бесплатная проверка);нет данных;нет данных;доля упоминаний, рекомендации, кого называют вместо бренда, конкуренты, динамика, полные тексты ответов, PDF;ДА: серии прогонов, 95% ДИ Вилсона по каждому движку;"рублёвый сервис (предположительно); нет данных";https://brandometer.ru/;2026-09-25;по сниппету поиска
brandfound (бывш. GPTFox);Россия;ChatGPT, Claude, Gemini, Perplexity, Grok, Алиса AI, GigaChat, Google AI Mode, DeepSeek (+YandexGPT по обзору);запрос к 1 нейросети = 10 FoxCoin (1 FC = 1 ₽), пакеты кредитов;10;1 900 (мин. пополнение = 190 запросов);нет верхней границы (бонус +30% от 50 000 ₽);нет данных;40+ метрик видимости, 17 шкал тональности, PDF-отчёт ~45 стр.;нет данных;рублёвый сервис;https://brandfound.ai/;2026-09-25;по сниппету поиска
Шпиониро;Россия;9+ сетей: ChatGPT, YandexGPT, Алиса, GigaChat и др.;кредиты;нет данных;1 490 (25 проверок бесплатно);"нет данных; white-label для агентств";нет данных;оценка видимости 0–100% по модели, тональность, по каким запросам рекомендуют конкурентов;"ежедневный опрос; ДИ не заявлен";рублёвый сервис;https://spioniro.ru/;2026-09-25;по сниппету поиска
AIMonitor.pro;Россия;"ChatGPT, DeepSeek, Алиса AI, Grok, Gemini, Perplexity, Claude (до 7 LLM); Яндекс Поиск";"единица = 10 ₽ без НДС (+22% НДС); прогон = интенты × регионы × ЦА × сети";12,2 с НДС;нет данных (баланс);нет данных;нет данных;"видимость; детальный AI-анализ — 190 единиц";нет данных;рублёвый сервис, НДС по законодательству РФ;https://aimonitor.pro/docs/pricing/;2026-09-25;по сниппету поиска
VisioBrand (ВизиоБренд);Россия;ChatGPT, YandexGPT и др.;запрос = промпт × модель;нет данных;5 990 (Лайт);29 990 (Про);нет данных;упоминания, контекст, разбивка по моделям, брифы против ложных данных, мониторинг точности цен;нет данных;рублёвый сервис;https://visiobrand.io/ru/monitoring;2026-09-25;по сниппету поиска
GEO Scout;Россия;ChatGPT, Perplexity, Copilot, DeepSeek, GigaChat, Gemini, Google AI Mode, AI Overview, Grok, Алиса AI, Поиск с Алисой;подписка / промпты;нет данных;0 (5 промптов) / 3 900 платно;нет данных;нет данных;упоминания и цитирования ежедневно;нет данных;рублёвый сервис;https://geoscout.pro/en;2026-09-25;по сниппету поиска
Getllmspy;нет данных;ChatGPT, Claude, Gemini, Perplexity, Grok, DeepSeek, GigaChat, YandexGPT, Mistral, Qwen, Llama, Kimi (через API);нет данных;нет данных;0 (бесплатная первичная проверка);нет данных;нет данных;LLM-Score, SoV, конкуренты, выявление выдуманных фактов (цены, закрытые магазины, несуществующие товары), Telegram-алерты;"еженедельные проверки; ДИ не заявлен";нет данных;https://getllmspy.com/en/;2026-09-25;по сниппету поиска
Profound;США;"Starter: ChatGPT; Growth: +Perplexity, Google AI Overviews; Enterprise: до 9–10 движков вкл. Claude";промпты / ответы (responses);"≈3,8–5,6 за ответ (расчёт: $399/9000; $99/1500)";≈8 400 ($99 Starter, только годовая оплата);"≈33 900 ($399 Growth); Enterprise — по запросу";нет данных;visibility score, SoV, тональность, цитируемые источники и их авторитетность, рейтинг конкурентов, AI-bot tracking;"ответов в 30–90 раз больше, чем промптов → многократные прогоны; ДИ не заявлен";нет данных;https://www.tryprofound.com/pricing;2026-09-25;"по сниппету поиска; курс $1=85 ₽ условный"
Peec AI;Германия;"3 на выбор из: ChatGPT, Google AI Mode, AI Overviews, Copilot, Perplexity, Gemini; Enterprise +Claude, GPT-5 Search, DeepSeek, Qwen, Mistral";"промпты; доп. модель €30–140/мес";нет данных;≈8 500 (€85 Starter, 50 промптов);"≈42 500 (€425 Advanced, 350 промптов); Enterprise — по запросу";нет данных;"видимость; интеграции Looker Studio, GSC, GA (Advanced); детали — нет данных";нет данных;нет данных;https://peec.ai/pricing;2026-09-25;"по сниппету поиска; курс €1=100 ₽ условный"
Otterly.AI;Австрия;"ChatGPT, Google AI Overviews, Perplexity, Copilot; доп.: AI Mode, Gemini, Claude";"промпты; +100 промптов $99";нет данных;≈2 500 ($29 Lite, 15 промптов);≈41 600 ($489 Premium, 400 промптов);нет данных;нет детализации в найденных сниппетах;нет данных;нет данных;https://otterly.ai/pricing;2026-09-25;"по сниппету поиска; курс условный"
Semrush AI Visibility Toolkit;США;ChatGPT, Google AI (AIO/AI Mode), Gemini, Perplexity;"домен + 25 промптов (ежедневно); +50 промптов ≈$60";≈2,8 (расчёт: 25 промптов × 4 сети × 30 дней);≈8 400 ($99/домен, годовая оплата);≈46 700 (Semrush One Advanced $549);нет данных;AI-позиции ежедневно, упоминания, конкуренты, prompt research, аудит AI-готовности сайта;"ежедневные прогоны; ДИ не заявлен";нет данных;https://www.semrush.com/pricing/ai/;2026-09-25;"по сниппету поиска; курс условный"
