Название;Тип;Город/регионы;Что продают;Сети;Промптов;Срок;Цена от ₽;Цена до ₽;Гарантии;Регионы(да/нет);До 30000(да/нет);URL;Дата проверки;Источник данных (страница/сниппет)
GAEO.ru (Алексей Яковлев);частная практика (ИП);Москва, удалённо;"мини-аудит бесплатно; полный GEO-аудит; сопровождение; GEO+контент";"до 7 (аудит); от 3 (сопровождение)";"до 4 (мини); до 50 (аудит); от 10 (сопровождение)";"результат «через 1 неделю»; динамика 2–4 мес";0;79900;"нет; «рост может появиться уже через 1 неделю»";н/д;да;https://gaeo.ru/;2026-09-25;страница (исходник сайта на GitHub gaeo-ru/gaeo-ru.github.io)
Lead.Media;агентство;Москва, СПб, Новосибирск;GEO-аудит (Экспресс/Полный/Стратегический), мониторинг AI-упоминаний, GEO под ключ;"ChatGPT, Gemini, Perplexity, Яндекс.Нейро; 2/4 платформы по тарифам";50 / 100 / 200+;н/д;24000;130000;н/д;да;да;https://lead.media/uslugi/geo-prodvizhenie/audit/;2026-09-25;сниппет поиска
aiseen.ru;инди-сервис (автоаудит);онлайн;GEO-аудит бренда в Алисе AI и Google AI;Алиса AI, Google AI;20;15 минут;2990;2990;н/д;да;да;https://aiseen.ru/;2026-09-25;сниппет поиска
KaliGEO;сервис-студия;Минск/Москва, онлайн;разовые аудиты без подписки: Базовый/Стандарт/Продвинутый;3 / 6 / все платформы;15 / 50 / 150+;48 часов;4900;29900;н/д;да;да;https://kaligeo.ru/;2026-09-25;страница (исходник лендинга на GitHub alexeikalinin/kaligeo-lp)
GEOSEO agency;агентство;н/д;GEO/AEO-аудит сайта, нейроаудит, сопровождение;Алиса, ChatGPT, Perplexity, DeepSeek, GigaChat;н/д;н/д;9900;;н/д;н/д;да;https://geoseoagency.ru/geo-aeo-audit/;2026-09-25;сниппет поиска
ФОНИИ (generative-optimization.ru);агентство;н/д;GEO-оптимизация по подписке;н/д;н/д;н/д;15000;;н/д;н/д;да (под вопросом);https://generative-optimization.ru/pricing;2026-09-25;сниппет поиска (принадлежность цены не подтверждена)
Александр Тригуб;частник;Москва;аудит AI-видимости, консультации;5 сетей (Яндекс Нейро, ChatGPT, Claude, Gemini, Perplexity, GigaChat упомянуты);40+;н/д;5000;;"н/д; «цены ориентировочные»";н/д;да;https://trigub.ru/uslugi/geo-ai-seo/ai-vidimost-audit/;2026-09-25;сниппет поиска
Kwork: vma_ai (Максим);фрилансер;удалённо;GEO-оптимизация сайта под нейропоиск и ответы ИИ;н/д;н/д;н/д;5000;5000;н/д;да;да;https://kwork.ru/optimization/52811573/geo-optimizatsiya-sayta-pod-neyropoisk-i-otvety-ii;2026-09-25;сниппет поиска
Kwork: ASTROPORT (Владимир);фрилансер;удалённо;GEO, AIO и AEO продвижение сайтов;ChatGPT, Gemini, Claude;н/д;н/д;2000;2000;н/д;да;да;https://kwork.ru/audit/41984828/geo-aio-i-aeo-prodvizhenie-saytov-v-chatgpt-gemini-claude-trafik-ai;2026-09-25;сниппет поиска
Шпиониро;SaaS;онлайн, мультирегион;мониторинг бренда в нейросетях, Visibility Score;12+ (Алиса, YandexGPT, ChatGPT, Gemini, DeepSeek и др.);по кредитам;подписка;1490;;н/д;да;да;https://spioniro.ru/;2026-09-25;сниппет поиска
OWNDEV;SaaS;онлайн;GEO+SEO автоаудит, Brand Tracker;ChatGPT, Perplexity, Яндекс Нейро, Gemini, Claude;н/д;60 секунд;0;99000;н/д;да;да;https://owndev.ru/;2026-09-25;страница (llms.txt на GitHub TheGusev/owndev-seo-launchpad)
OK REVIEW;агентство;н/д;бесплатный GEO-аудит, GEO-продвижение;ChatGPT, Claude, Perplexity, Алиса, Яндекс Нейро;30;1 день;0;;н/д;н/д;да;https://okreview.ru/geo;2026-09-25;сниппет поиска
PRIMO Agency;агентство;"СПб; страницы Москва, Новосибирск";GEO-продвижение (в т.ч. отраслевые тарифы);ChatGPT, Perplexity, Gemini и др.;н/д;н/д;30000;50000;модели оплаты за результат/трафик/лиды;да;да (граница);https://primo.agency/prodvizhenie-v-nejrosetyah/moskva;2026-09-25;сниппет поиска
1PS.RU;онлайн-сервис услуг;н/д;нейроаудит, нейрооптимизация, SEO+GEO;н/д;н/д;н/д;38000;110000;н/д;н/д;нет;https://1ps.ru/cost/analytics/polnyij-audit-vidimosti-v-nejrosetyax/;2026-09-25;сниппет поиска
spec-ai.ru (спецайти);студия;н/д;SEO + AI-аудит, отчёт 15–25 стр. + созвон;н/д;н/д;5–7 дней;60000;80000;н/д;н/д;нет;https://spec-ai.ru/seo/audit/;2026-09-25;сниппет поиска
Взлёт Медиа;агентство;Москва + региональные страницы;продвижение в Алисе, GigaChat, ChatGPT, DeepSeek;Алиса, GigaChat, ChatGPT, DeepSeek;н/д;н/д;60000;;общие «гарантии KPI в рамках договора» (не про GEO);да;нет;https://vzlet.media/poiskovoe-prodvizhenie-optimizaciya/yandex-alisa/;2026-09-25;сниппет поиска
Лидер Поиска;агентство;"Уфа; Новосибирск";GEO-продвижение, голосовые ассистенты;ChatGPT, Gemini, Алиса;н/д;н/д;79000;;н/д;да;нет;https://lider-poiska.ru/geo-prodvizhenie/;2026-09-25;сниппет поиска
Vverh.digital;агентство;н/д;GEO-продвижение;н/д;н/д;кейс 12 недель;80000;;н/д;н/д;нет;https://github.com/IndexResearch-ru/geo-aeo-agencies-russia-2026;2026-09-25;"страница (IndexResearch GitHub, срез 18.09.2026); внешний листинг"
GEO Scout;платформа + managed;н/д;managed GEO-спринт + подписка на платформу;10–12 AI-платформ;н/д;спринт 1 мес;90000;140000;н/д;н/д;нет;https://geoscout.pro/ru/managed-geo;2026-09-25;страница (IndexResearch GitHub, срез 18.09.2026) + сниппет поиска
Head Promo;агентство;Москва;GEO: тарифы Тест, Бренд;6 сетей;35 (кейс Clatch);н/д;98000;238000;н/д;н/д;нет;https://head-promo.ru/geo-prodvizhenie-v-ai/;2026-09-25;страница (IndexResearch GitHub, срез 18.09.2026) + сниппет поиска
AdvertPro;агентство;"Москва; шаблон городов sale.advertpro.ru";"бесплатный аудит; GEO Базовый";ChatGPT, Gemini, Алиса, Perplexity, DeepSeek;н/д;первые результаты 6–8 недель;0;100000;н/д;да;да (только бесплатный аудит);https://www.advertpro.ru/geo/;2026-09-25;сниппет поиска
Seo Performance Agency;агентство;н/д;GEO-оптимизация;н/д;6 кластеров (кейс);кейс 3 мес;84000;100000;н/д;н/д;нет;https://seo-performance.ru/geo-ceny/;2026-09-25;страница (IndexResearch GitHub, срез 18.09.2026)
Основа Digital;агентство;Новосибирск, Москва;GEO-продвижение;ChatGPT, Алиса;н/д;н/д;104895;;н/д;да;нет;https://da-osnova.ru/geo-prodvizhenie/;2026-09-25;сниппет поиска
SLT;агентство;н/д;GEO, исследования ниш;н/д;~2000 запросов (исследование);кейс 3 мес;120000;;н/д;н/д;нет;https://seolt.ru/;2026-09-25;"страница (IndexResearch GitHub, срез 18.09.2026); внешний листинг"
TRINET.Group;агентство;н/д;комплексное GEO;н/д;н/д;н/д;120000;;н/д;н/д;нет;https://github.com/IndexResearch-ru/geo-aeo-agencies-russia-2026;2026-09-25;страница (IndexResearch GitHub, срез 18.09.2026)
Пиксель Плюс / Пиксель Тулс;агентство + SaaS;Москва;GEO-аудит, AEO/GEO-сопровождение, AI-трекер;7+ (Алиса, YandexGPT, ChatGPT, GigaChat, Google AIO, Perplexity, DeepSeek, Claude, Grok, Qwen);н/д;аудит от 7 дней, результат от 2 мес;129900;;н/д;н/д;н/д;https://pixelplus.ru/geo/geo-audit/;2026-09-25;страница (IndexResearch GitHub, срез 18.09.2026) + сниппет поиска
Digital Geeks;агентство;н/д;GEO Старт: сайт, публикации, отзывы, личные бренды;н/д;н/д;н/д;150000;;н/д;н/д;нет;https://digitalgeeks.ru/generative-engine-optimization/;2026-09-25;страница (IndexResearch GitHub, срез 18.09.2026)
Ашманов и партнёры;агентство;Москва;"бесплатная проверка; GEO-продвижение";н/д;н/д;н/д;0;180000;н/д;н/д;да (только бесплатная проверка);https://www.ashmanov.com/seo-prodvizhenie/generative-optimization/;2026-09-25;страница (IndexResearch GitHub, срез 18.09.2026) + сниппет поиска
Rush Agency;агентство;Москва;GEO+SEO+AEO, продвижение в Алисе;ChatGPT, Gemini, Perplexity, Claude, Алиса;н/д;4–8 недель (по обзору);265000;;н/д;н/д;нет;https://www.rush-agency.ru/prodvizhenie-sajta-za-rubezhom/prodvizhenie-sajta-v-ai/;2026-09-25;"сниппет поиска; цена $3500/мес"
NeuroReach;агентство;н/д;GEO «дефолтный ответ», аудит PDF 1–2 дня;6 (кейсы);79–138 (кейсы);н/д;300000;350000;н/д;н/д;нет;https://github.com/IndexResearch-ru/geo-aeo-agencies-russia-2026;2026-09-25;"страница (IndexResearch GitHub, срез 18.09.2026); внешний листинг"
Texterra;агентство;н/д;GEO-аудит, GEO-стратегия, GEO-продвижение;3 AI-системы (базовый срез);до 20;н/д;;;н/д;н/д;н/д;https://texterra.ru/services/geo-prodvizhenie-sayta-v-neyrosetyakh/geo-audit/;2026-09-25;сниппет поиска
Torkunoff Agency;агентство;н/д;GEO-аудит по бизнес-сценариям, ошибочные факты;ChatGPT, Алиса, Perplexity и др.;н/д;н/д;0;;н/д;н/д;да (бесплатный разбор);https://torkunoff.ru/services/geo-audit/;2026-09-25;сниппет поиска
Remarka Agency;агентство;н/д;GEO-аудит, GEO-оптимизация;н/д;н/д;результаты через 2–4 мес;;;"н/д; цена индивидуально";н/д;н/д;https://remarka.agency/seo/geo-audit;2026-09-25;сниппет поиска
